"Terms searched for in same 15 second clip: (""palestinian"" OR ""gazan"" OR ""gaza"" OR ""gazans"" OR ""palestinians"" OR ""israeli"" OR ""israel"" OR ""israelis"") AND (""massacring"" OR ""massacre"" OR ""massacres"" OR ""brutal"" OR ""slaughter"" OR ""slaughters"" OR ""slaughtering"" OR ""barbaric"" OR ""savage"")",,,,,,
,,,,,,
,,,,,,
URL,MatchDateTime,Day,Station,Show,Snippet,Victim
https://archive.org/details/MSNBCW_20231007_230000_American_Voices_With_Alicia_Menendez#start/2183/end/2218,10/7/2023 23:36:38,10/7/2023,MSNBC,American Voices With Alicia Menendez,"only side they can go. it is very difficult. that said, that is likely what i expect to happen. and i do expect what israel is doing in issuing these warnings, in the, past israel has been extremely brutal and its response. when they are faced with",Palestinian Victim
https://archive.org/details/CNNW_20231008_120000_CNN_This_Morning_Weekend#start/1968/end/2003,10/8/2023 12:33:03,10/8/2023,CNN,CNN This Morning Weekend,"gaza before on multiple occasions and they're brutal in their approach. you couldn't do that when there are israeli hostages in that area, unless you determine that you will do it and hill the",Palestinian Victim
https://archive.org/details/MSNBCW_20231008_020000_American_Voices_With_Alicia_Menendez#start/1394/end/1429,10/8/2023 2:23:29,10/8/2023,MSNBC,American Voices With Alicia Menendez,again after the brutal attack of hamas on israeli targets we will see the retaliation of brutal retaliation on gaza and the inhabitants of gaza. and then there will be calls,Palestinian Victim
https://archive.org/details/CNNW_20231009_230000_Erin_Burnett_OutFront#start/2852/end/2887,10/9/2023 23:47:47,10/9/2023,CNN,Erin Burnett OutFront,"a brutal ground assault into gaza right now. and i think the hope for the israelis is it doesn't spread much into the west bank, and then, obviously, up north to lebanon and then syria. that's a worry. that's a good point.",Palestinian Victim
https://archive.org/details/MSNBCW_20231009_190000_Katy_Tur_Reports#start/749/end/784,10/9/2023 19:12:44,10/9/2023,MSNBC,Katy Tur Reports,the rules of war. you didn't hear any of that this time at all. all he said is we are a nation at war. there is an expectation now from the israelis that the united states and other allies are going to be prepared to back massacres of civilians in the gaza strip. we need to sit with the gravity,Palestinian Victim
https://archive.org/details/MSNBCW_20231009_070000_Dateline#start/2353/end/2388,10/9/2023 7:39:28,10/9/2023,MSNBC,Dateline,"commonplace in a country that has been under occupation and brutal oppression for over half a century. it does not always make the news on your screen, but it is an everyday reality for palestinians. well, it quite often does",Palestinian Victim
https://archive.org/details/MSNBCW_20231010_090000_Way_Too_Early_With_Jonathan_Lemire#start/2181/end/2216,10/10/2023 9:36:36,10/10/2023,MSNBC,Way Too Early With Jonathan Lemire,"there's been a pretty typical play book in terms of responding. israel responds with a very brutal response in gaza, it lasts a matter of weeks and things die down and they go back to the status quo. the difference is this time you have all these hostages.",Palestinian Victim
https://archive.org/details/CNNW_20231012_140000_CNN_News_Central#start/3456/end/3491,10/12/2023 14:57:51,10/12/2023,CNN,CNN News Central,"they have been enduring a brutal siege of the stated aims of the israeli government is to deprive the people of their basic means to prosper and live ordinary normal lives with dignity, and that is what this is about, and the fact that the elected",Palestinian Victim
https://archive.org/details/CNNW_20231015_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/142/end/177,10/15/2023 13:02:37,10/15/2023,CNN,State of the Union With Jake Tapper and Dana Bash,"and gaza. and concerned about what this next phase of the war in the middle east will look like. and whether there is any real thought as to what is coming next. the israeli government says after eight days of a brutal air campaign in gaza, it is now",Palestinian Victim
https://archive.org/details/MSNBCW_20231017_190000_Katy_Tur_Reports#start/2470/end/2505,10/17/2023 19:41:25,10/17/2023,MSNBC,Katy Tur Reports,"palestinian authority, the internationally recognized palestinian government is appealing to the united nations to save our people from this deliberate slaughter. katy, i have to say this feels like a real turning point.",Palestinian Victim
https://archive.org/details/CNNW_20231018_060000_CNN_Newsroom_Live#start/150/end/185,10/18/2023 6:02:45,10/18/2023,CNN,CNN Newsroom Live,"the strongest possible terms, and we hold israel responsible for this massacre, this crime. protests have broken out in the west bank and across the middle east. demonstrators marched through the streets near the u.s.",Palestinian Victim
https://archive.org/details/CNNW_20231018_040000_CNN_Newsroom_Live#start/146/end/181,10/18/2023 4:02:41,10/18/2023,CNN,CNN Newsroom Live,"biden says he's deeply saddened. here's the ambassador to the u.n. we condemn this action in the strongest possible terms, and we hold israel responsible for this massacre, this crime.",Palestinian Victim
https://archive.org/details/CNNW_20231007_140000_CNN_Newsroom#start/859/end/894,10/7/2023 14:14:34,10/7/2023,CNN,CNN Newsroom,"-- a legitimate target of the israelis has been very vocal and the israelis may want to eliminate hamas's leadership. but where does this go? that's the real problem. where is the strategy to ensure that this is not a brutal and horrific rinse, wash and repeat",N/A
https://archive.org/details/MSNBCW_20231007_120000_The_Katie_Phang_Show#start/2860/end/2895,10/7/2023 12:47:55,10/7/2023,MSNBC,The Katie Phang Show,"similarly. this i think will come to be a brutal but it contained fight between hamas in the israeli defense forces, and that is going to be quite explosive over the next few days. admiral of the united states",N/A
https://archive.org/details/MSNBCW_20231008_160000_Inside_With_Jen_Psaki#start/494/end/529,10/8/2023 16:08:29,10/8/2023,MSNBC,Inside With Jen Psaki,"against hamas. we've already seen the bombings taking place in gaza city, the two largest cities in gaza. but there's gonna be retaliatory aspect to this that netanyahu is getting pressured, mainly from his right wing, to be as aggressive, and is brutal,",N/A
https://archive.org/details/CNNW_20231008_030000_Anthony_Bourdain_Parts_Unknown#start/757/end/792,10/8/2023 3:12:52,10/8/2023,CNN,Anthony Bourdain Parts Unknown,"to pacify gaza, basically at the end of the day, israel is going to be left with this terrible dislem ma. whatever military operations they take they can overcome hamas, there is going to be horrible, terrible, brutal fighting that's going to go on",N/A
https://archive.org/details/CNNW_20231008_030000_Anthony_Bourdain_Parts_Unknown#start/737/end/772,10/8/2023 3:12:32,10/8/2023,CNN,Anthony Bourdain Parts Unknown,"brutal occupation. but if you destroy hamas, there is no more effective authority over the gaza trim, someone has to rule. the egyptians, jordanian, saudi,",N/A
https://archive.org/details/CNNW_20231008_020000_Anthony_Bourdain_Parts_Unknown#start/3257/end/3292,10/8/2023 2:54:32,10/8/2023,CNN,Anthony Bourdain Parts Unknown,"occasionally when hamas reacted with rockets the fight got pretty brutal. like in 2021. i think you're witnessing since this israel prime minister just on this issue but on other ones, have become not risk averse but",N/A
https://archive.org/details/CNNW_20231009_090000_Early_Start_With_Kasie_Hunt#start/3000/end/3035,10/9/2023 9:50:15,10/9/2023,CNN,Early Start With Kasie Hunt,"hamas publicly thanked iran for their funding, their training, their contributions for this horrific attack on israeli civilians. iran is russia's partner in their brutal war in ukraine. it is iran providing the drones",N/A
https://archive.org/details/CNNW_20231009_030000_The_Whole_Story_With_Anderson_Cooper#start/1514/end/1549,10/9/2023 3:25:29,10/9/2023,CNN,The Whole Story With Anderson Cooper,"scale ground incursion. in previous rounds we have had seem deep incursions, haven't gone all the way into gaza, back in 2014, they went several kilometers into gaza. this would be a brutal battle.",N/A
https://archive.org/details/MSNBCW_20231010_230000_The_ReidOut#start/1595/end/1630,10/10/2023 23:26:50,10/10/2023,MSNBC,The ReidOut,"blaming israel for the massacre in the gaza strip. how dare you? how dare they do that? they put pictures of the missiles falling on gaza strip,",N/A
https://archive.org/details/MSNBCW_20231010_060000_The_11th_Hour_With_Stephanie_Ruhle#start/3169/end/3204,10/10/2023 6:53:04,10/10/2023,MSNBC,The 11th Hour With Stephanie Ruhle,"have raised the front lines tonight, risking their lives to save others as the brutal war between hamas and israel rages on. i want to bring in one of those brave responders, his chief of staff in the national paramedic service of israel. thank you for everything you're doing. tell us what the last two days have been like for you and your",N/A
https://archive.org/details/MSNBCW_20231010_030000_The_11th_Hour_With_Stephanie_Ruhle#start/3218/end/3253,10/10/2023 3:53:53,10/10/2023,MSNBC,The 11th Hour With Stephanie Ruhle,"have raised the front lines tonight, risking their lives to save others as the brutal war between hamas and israel rages on. i want to bring in one of those brave responders, his chief of staff in the national paramedic service of israel. thank you for everything you're",N/A
