"Terms searched for in same 15 second clip: (""ukraine"" OR ""ukrainian"" OR ""ukrainians"" OR ""russia"" OR ""russians"") AND (""massacring"" OR ""massacre"" OR ""massacres"" OR ""brutal"" OR ""slaughter"" OR ""slaughters"" OR ""slaughtering"" OR ""barbaric"" OR ""savage"")",,,,,,
URL,MatchDateTime,Day,Station,Show,Snippet,Victim
https://archive.org/details/CNNW_20220225_230000_The_Situation_Room_With_Wolf_Blitzer#start/1137/end/1172,2/25/2022 23:19:12,2/25/2022,CNN,The Situation Room With Wolf Blitzer,"ukraine. ukraine's president is now warning his country's fate is being decided, he says, tonight. here's more of what president zelenskyy said in a new video released jus d just a little wh ago. translator: our main goal is to finish this slaughter.",Ukrainian Victims
https://archive.org/details/CNNW_20220225_230000_The_Situation_Room_With_Wolf_Blitzer#start/767/end/802,2/25/2022 23:13:02,2/25/2022,CNN,The Situation Room With Wolf Blitzer,"the sanctions are great, but what can we do tonight, tomorrow, the next day, to help ukraine and ukrainians hold on to their independence and stop the impending slaughter in kyiv. wolf, you can hear from general clark there, he map of",Ukrainian Victims
https://archive.org/details/CNNW_20220225_230000_The_Situation_Room_With_Wolf_Blitzer#start/380/end/415,2/25/2022 23:06:35,2/25/2022,CNN,The Situation Room With Wolf Blitzer,decided right now. he went on to say that our main goal now is to finish the slaughter. he claimed that ukrainian forces have killed hundreds of russian forces on the battlefield today. he also said that not only are,Ukrainian Victims
https://archive.org/details/MSNBCW_20220225_210000_Deadline_White_House#start/5249/end/5284,2/25/2022 22:27:44,2/25/2022,MSNBC,Deadline White House,"their ilk are utterly despicable and should be condemned by anyone with a conscience right now, especially as we see the wanton slaughter of ukrainian citizens at putin's direction. this is putin's war. he is responsible for this, and",Ukrainian Victims
https://archive.org/details/MSNBCW_20220225_210000_Deadline_White_House#start/4354/end/4389,2/25/2022 22:12:49,2/25/2022,MSNBC,Deadline White House,"invasion and slaughter going on in ukraine. it's so unprecedented from the standpoint of, putin has never done something like this before. however, as we look at putin and we see now that he really reflects this very right-wing ideological base within russia, it's the equivalent of russia",Ukrainian Victims
https://archive.org/details/MSNBCW_20220225_110000_Morning_Joe#start/3647/end/3682,2/25/2022 12:01:02,2/25/2022,MSNBC,Morning Joe,"what is happening a brutal act of war. russians close in on ukrainian capital, that's from the 'wall street journal.' 'the los angeles times' leads with, 'we now have war in",Ukrainian Victims
https://archive.org/details/MSNBCW_20220225_110000_Morning_Joe#start/1331/end/1366,2/25/2022 11:22:26,2/25/2022,MSNBC,Morning Joe,"putin's brutal campaign succeeds or fails. you continue, the ukraine assault, pitting a messianic russian autocrat against the",Ukrainian Victims
https://archive.org/details/CNNW_20220225_090000_CNN_Newsroom_Live#start/3211/end/3246,2/25/2022 9:53:46,2/25/2022,CNN,CNN Newsroom Live,system into a make shift bomb shelter. clarissa ward was there speaking with frightened but determined ukrainians seeking safety. reporter: kharkiv residents scrambled to find shelter as russia's brutal assault unfolds.,Ukrainian Victims
https://archive.org/details/MSNBCW_20220225_090000_The_Rachel_Maddow_Show#start/2349/end/2384,2/25/2022 9:39:24,2/25/2022,MSNBC,The Rachel Maddow Show,"profound sanctions on russia over their full scale invasion of ukraine. my colleague nbc's peter alexander has this report. reporter: condemning a brutal assault without provocation, president biden blamed russian president vladimir putin for",Ukrainian Victims
https://archive.org/details/MSNBCW_20220225_090000_The_Rachel_Maddow_Show#start/1887/end/1922,2/25/2022 9:31:42,2/25/2022,MSNBC,The Rachel Maddow Show,"further into the country, inching closer to the nation's capital, as we speak. but amid their brutal assault, they continue to meet fierce resistance, from ukraine. where president zelenskyy has urged civilians to take up arms",Ukrainian Victims
https://archive.org/details/CNNW_20220225_080000_Don_Lemon_Tonight#start/2624/end/2659,2/25/2022 8:43:59,2/25/2022,CNN,Don Lemon Tonight,"determined ukrainians seeking safety. kharkiv residents scramble to find shelter. as russia brutal assault unfolds. deep under ground, scenes reminiscent of the second world",Ukrainian Victims
https://archive.org/details/CNNW_20220225_070000_Don_Lemon_Tonight#start/464/end/499,2/25/2022 7:07:59,2/25/2022,CNN,Don Lemon Tonight,"russia's brutal assault unfolds. deep underground, scenes reminiscent of the second world war and the shock just sinking in that what was unimaginable is now reality. as 36-year-old daria tells us --  _",Ukrainian Victims
https://archive.org/details/CNNW_20220225_060000_CNN_Tonight#start/1200/end/1235,2/25/2022 6:20:15,2/25/2022,CNN,CNN Tonight,"clarissa ward was there and spoke with frightened but determined ukrainians seeking safety. reporter: kharkiv residents scrambled to find shelter as russia's brutal assault unfolds. deep underground, scenes",N/A
https://archive.org/details/CNNW_20220225_050000_Anderson_Cooper_360#start/2204/end/2239,2/25/2022 5:36:59,2/25/2022,CNN,Anderson Cooper 360,"that -- that would be particularly brutal -- the russian response in ukraine. and i immediately thought, as an intelligence officer, that this is what that might have been referring to. and if they don't have to, they don't have to. in other words, if they flee,",Ukrainian Victims
https://archive.org/details/CNNW_20220225_040000_Don_Lemon_Tonight#start/3168/end/3203,2/25/2022 4:53:03,2/25/2022,CNN,Don Lemon Tonight,"kharkiv residents scramble to find shelter, as russia's brutal assault unfolds. deep underground, scenes reminiscent of the second world war and the shock just sinking in, that what was unimaginable is now reality.",Ukrainian Victims
https://archive.org/details/CNNW_20220225_030000_Don_Lemon_Tonight#start/1497/end/1532,2/25/2022 3:25:12,2/25/2022,CNN,Don Lemon Tonight,mercedes-benz certified pre-owned. translation: the mercedes of your dreams is closer than you think. we're back now with the breaking news coverage. russia brutal war on ukraine begins its second day.,Ukrainian Victims
https://archive.org/details/CNNW_20220225_030000_Don_Lemon_Tonight#start/1244/end/1279,2/25/2022 3:20:59,2/25/2022,CNN,Don Lemon Tonight,"of that? that of course worrying and troubling signs for the hours and days ahead. all right. thank you. standby, everyone. thank you. we have much more on the breaking news tonight. russia waging a brutal war in ukraine. cnn teams are on the ground throughout the region.",Ukrainian Victims
https://archive.org/details/CNNW_20220225_020000_CNN_Tonight#start/2458/end/2493,2/25/2022 2:41:13,2/25/2022,CNN,CNN Tonight,"churches, they'll bomb schools, they'll bomb hospitals. this will be a brutal campaign. before i let you go, colonel, putin has used explosive words in describing what's going on in ukraine. he says his effort is simply to protect people in ukraine from",Ukrainian Victims
https://archive.org/details/CNNW_20220225_020000_CNN_Tonight#start/2425/end/2460,2/25/2022 2:40:40,2/25/2022,CNN,CNN Tonight,"dignity, the folks that are dragging ukraine or pushing ukraine towards the west. those are all on the target list. we don't really understand how the russian mindset is here. they're going to be barbaric. right now it seems they're actually being restrained",Ukrainian Victims
https://archive.org/details/CNNW_20220225_010000_Anderson_Cooper_360#start/2158/end/2193,2/25/2022 1:36:13,2/25/2022,CNN,Anderson Cooper 360,cnn's clarissa ward in kharkiv and as she mentioned earlier met some of the residents taking shelter. reporter: kharkiv residents scrambled to find shelter as russia's brutal assault unfolds.,Ukrainian Victims
https://archive.org/details/CNNW_20220225_010000_Anderson_Cooper_360#start/2158/end/2193,2/25/2022 1:36:13,2/25/2022,CNN,Anderson Cooper 360,cnn's clarissa ward in kharkiv and as she mentioned earlier met some of the residents taking shelter. reporter: kharkiv residents scrambled to find shelter as russia's brutal assault unfolds.,Ukrainian Victims
https://archive.org/details/CNNW_20220226_210000_CNN_Newsroom_With_Jim_Acosta#start/2053/end/2088,2/26/2022 21:34:28,2/26/2022,CNN,CNN Newsroom With Jim Acosta,"ukraine? earlier this afternoon, congressman, we were showing just brutal weapons that russia was rolling into ukraine, the therm thermobaric weapons that can cause all hell to break loose if those weapons are",Ukrainian Victims
https://archive.org/details/MSNBCW_20220226_180000_Alex_Witt_Reports#start/3415/end/3450,2/26/2022 18:57:10,2/26/2022,MSNBC,Alex Witt Reports,"places. there are a lot of places that are under brutal cyberattacks so people can't register. that's the other thing i would say. if you have family or friends in ukraine and they need to be evacuated, please go to our website, project dynamo.org and",Ukrainian Victims
