"Terms searched for in 15 second clip: (""war crime"" OR ""war crimes"" OR ""genoicde"" OR ""genocidal"") AND (""palestinians"" OR ""gaza"" OR ""gazan"" OR ""gazans"" OR ""israel"" OR ""israelis"" OR ""israeli"" OR ""palestinian"")",,,,,,,
,,,,,,,
URL,MatchDateTime,Station,Show,IAShowID,IAPreviewThumb,Snippet,ABOUT PALESTINIANS?
https://archive.org/details/MSNBCW_20231105_010000_Ayman#start/3207/end/3242,11/5/2023 1:53:42,MSNBC,Ayman,MSNBCW_20231105_010000_Ayman,https://archive.org/download/MSNBCW_20231105_010000_Ayman/MSNBCW_20231105_010000_Ayman.thumbs/MSNBCW_20231105_010000_Ayman_003207.jpg,"moral and jewish values. my values, my jewish compass shows me that i need to oppose the dehumanization and war crimes regardless of who is",N/A
https://archive.org/details/CNNW_20231008_050000_Anthony_Bourdain_Parts_Unknown#start/616/end/651,10/8/2023 5:10:31,CNN,Anthony Bourdain Parts Unknown,CNNW_20231008_050000_Anthony_Bourdain_Parts_Unknown,https://archive.org/download/CNNW_20231008_050000_Anthony_Bourdain_Parts_Unknown/CNNW_20231008_050000_Anthony_Bourdain_Parts_Unknown.thumbs/CNNW_20231008_050000_Anthony_Bourdain_Parts_Unknown_000597.jpg,"who kill innocent civilians, unprovoked, are going to pay a dear price for that. and of course, this will take time. hamas is perpetrating war crimes and situating all its capabilities within its own",N/A
https://archive.org/details/MSNBCW_20231008_070000_Dateline#start/2638/end/2673,10/8/2023 7:44:13,MSNBC,Dateline,MSNBCW_20231008_070000_Dateline,https://archive.org/download/MSNBCW_20231008_070000_Dateline/MSNBCW_20231008_070000_Dateline.thumbs/MSNBCW_20231008_070000_Dateline_002638.jpg,"belong. and those horrible war crimes were created yesterday by hamas by killing and listen to people, that this thing will be as interns that this will never happen again. this is my message for you today.",N/A
https://archive.org/details/CNNW_20231008_170000_Fareed_Zakaria_GPS#start/3278/end/3313,10/8/2023 17:54:53,CNN,Fareed Zakaria GPS,CNNW_20231008_170000_Fareed_Zakaria_GPS,https://archive.org/download/CNNW_20231008_170000_Fareed_Zakaria_GPS/CNNW_20231008_170000_Fareed_Zakaria_GPS.thumbs/CNNW_20231008_170000_Fareed_Zakaria_GPS_003268.jpg,"obviously. that's right. he said these were unequivocal war crimes. the hostage issue has not come up in recent city council crises with the middle east. this is a new game. as you mentioned talking with nick, this thing could go on for",N/A
https://archive.org/details/MSNBCW_20231008_190000_Yasmin_Vossoughian_Reports#start/1353/end/1388,10/8/2023 19:22:48,MSNBC,Yasmin Vossoughian Reports,MSNBCW_20231008_190000_Yasmin_Vossoughian_Reports,https://archive.org/download/MSNBCW_20231008_190000_Yasmin_Vossoughian_Reports/MSNBCW_20231008_190000_Yasmin_Vossoughian_Reports.thumbs/MSNBCW_20231008_190000_Yasmin_Vossoughian_Reports_001349.jpg,"and went on to say that congressman goldman is grateful for the assistance of the state department, and israeli authorities. and, he hopes all americans can come together to support israel's right to defend herself, from terrorism and war crimes. i should note, this comes after we received a statement first,",N/A
https://archive.org/details/MSNBCW_20231008_220000_American_Voices_With_Alicia_Menendez#start/1413/end/1448,10/8/2023 22:23:48,MSNBC,American Voices With Alicia Menendez,MSNBCW_20231008_220000_American_Voices_With_Alicia_Menendez,https://archive.org/download/MSNBCW_20231008_220000_American_Voices_With_Alicia_Menendez/MSNBCW_20231008_220000_American_Voices_With_Alicia_Menendez.thumbs/MSNBCW_20231008_220000_American_Voices_With_Alicia_Menendez_001409.jpg,hamas is a genocidal terror organization. it is no different than isis it is no different than al-qaeda. there is no reasoning with,N/A
https://archive.org/details/CNNW_20231008_200000_CNN_Newsroom_With_Fredricka_Whitfield#start/2013/end/2048,10/8/2023 20:33:48,CNN,CNN Newsroom With Fredricka Whitfield,CNNW_20231008_200000_CNN_Newsroom_With_Fredricka_Whitfield,https://archive.org/download/CNNW_20231008_200000_CNN_Newsroom_With_Fredricka_Whitfield/CNNW_20231008_200000_CNN_Newsroom_With_Fredricka_Whitfield.thumbs/CNNW_20231008_200000_CNN_Newsroom_With_Fredricka_Whitfield_002007.jpg,"saturday's attack, quote, israel's 911 and called reports of israelis being kidnapped blatant documented war crimes. israel wants the u.n. to condemn the terror attacks.",N/A
https://archive.org/details/MSNBCW_20231008_210000_PoliticsNation#start/1988/end/2023,10/8/2023 21:33:23,MSNBC,PoliticsNation,MSNBCW_20231008_210000_PoliticsNation,https://archive.org/download/MSNBCW_20231008_210000_PoliticsNation/MSNBCW_20231008_210000_PoliticsNation.thumbs/MSNBCW_20231008_210000_PoliticsNation_001978.jpg,fact the biden administration is sending even more weapons in a way that we know israel has never use these weapons it perpetrates war crimes. it's just simply going to facilitate more and more and more violence.,N/A
https://archive.org/details/MSNBCW_20231008_220000_American_Voices_With_Alicia_Menendez#start/1428/end/1463,10/8/2023 22:24:03,MSNBC,American Voices With Alicia Menendez,MSNBCW_20231008_220000_American_Voices_With_Alicia_Menendez,https://archive.org/download/MSNBCW_20231008_220000_American_Voices_With_Alicia_Menendez/MSNBCW_20231008_220000_American_Voices_With_Alicia_Menendez.thumbs/MSNBCW_20231008_220000_American_Voices_With_Alicia_Menendez_001409.jpg,genocidal people. they do not want dialogue they do not want conversation. they want one thing and one thing only. the annihilation of the jewish state. general mccaffrey your,N/A
https://archive.org/details/CNNW_20231009_210000_The_Situation_Room_With_Wolf_Blitzer#start/1399/end/1434,10/9/2023 21:23:34,CNN,The Situation Room With Wolf Blitzer,CNNW_20231009_210000_The_Situation_Room_With_Wolf_Blitzer,https://archive.org/download/CNNW_20231009_210000_The_Situation_Room_With_Wolf_Blitzer/CNNW_20231009_210000_The_Situation_Room_With_Wolf_Blitzer.thumbs/CNNW_20231009_210000_The_Situation_Room_With_Wolf_Blitzer_001377.jpg,"to be firmly in israel's corner, having suffered such a horrific genocidal attack in a country that was founded in the aftermath of one of the worst genocides ever, the holocaust. what we need to remember is that",N/A
