,,,,,,,
,,,,,,,
URL,MatchDateTime,Day,Station,Show,IAShowID,IAPreviewThumb,Snippet
https://archive.org/details/CNNW_20231007_120000_CNN_This_Morning_Weekend#start/1609/end/1644,10/7/2023 12:27:04,10/7/2023,CNN,CNN This Morning Weekend,CNNW_20231007_120000_CNN_This_Morning_Weekend,https://archive.org/download/CNNW_20231007_120000_CNN_This_Morning_Weekend/CNNW_20231007_120000_CNN_This_Morning_Weekend.thumbs/CNNW_20231007_120000_CNN_This_Morning_Weekend_001588.jpg,"as it relates to the wounded from the health ministry 779 people have been wounded. the latest, 40 dead and more than 770 wounded in this attack. israel is at war. we are also learning that"
https://archive.org/details/CNNW_20231007_130000_Smerconish#start/3002/end/3037,10/7/2023 13:50:17,10/7/2023,CNN,Smerconish,CNNW_20231007_130000_Smerconish,https://archive.org/download/CNNW_20231007_130000_Smerconish/CNNW_20231007_130000_Smerconish.thumbs/CNNW_20231007_130000_Smerconish_002997.jpg,"hamas launched attacks on israel earlier this morning. obama, the start of this next video may be very disturbing to some. it's from the israel defense forces which they claim counterattacks in israel and gaza. we also learned that the gaza health ministry says the"
https://archive.org/details/CNNW_20231007_140000_CNN_Newsroom#start/95/end/130,10/7/2023 14:01:50,10/7/2023,CNN,CNN Newsroom,CNNW_20231007_140000_CNN_Newsroom,https://archive.org/download/CNNW_20231007_140000_CNN_Newsroom/CNNW_20231007_140000_CNN_Newsroom.thumbs/CNNW_20231007_140000_CNN_Newsroom_000088.jpg,"officials there. they say at least 198 palestinians already have been killed in gaza, and more than 1600 people in gaza are injured. this once again, according to the palestinian health ministry there."
https://archive.org/details/CNNW_20231007_140000_CNN_Newsroom#start/109/end/144,10/7/2023 14:02:04,10/7/2023,CNN,CNN Newsroom,CNNW_20231007_140000_CNN_Newsroom,https://archive.org/download/CNNW_20231007_140000_CNN_Newsroom/CNNW_20231007_140000_CNN_Newsroom.thumbs/CNNW_20231007_140000_CNN_Newsroom_000088.jpg,"this is quickly developing, this situation, we want to go back to cnn in jerusalem for us. update our viewers on the very latest. reporter: well, the very latest is we've just gone in from the israeli ministry of"
https://archive.org/details/CNNW_20231007_140000_CNN_Newsroom#start/814/end/849,10/7/2023 14:13:49,10/7/2023,CNN,CNN Newsroom,CNNW_20231007_140000_CNN_Newsroom,https://archive.org/download/CNNW_20231007_140000_CNN_Newsroom/CNNW_20231007_140000_CNN_Newsroom.thumbs/CNNW_20231007_140000_CNN_Newsroom_000809.jpg,"think this is going to escalate now, not only in gaza but maybe in lebanon or the west bank? well, in palestinian health ministry, they are reporting 198 palestinians killed, 1600 wounded, and israel has a"
https://archive.org/details/CNNW_20231007_140000_CNN_Newsroom#start/2011/end/2046,10/7/2023 14:33:46,10/7/2023,CNN,CNN Newsroom,CNNW_20231007_140000_CNN_Newsroom,https://archive.org/download/CNNW_20231007_140000_CNN_Newsroom/CNNW_20231007_140000_CNN_Newsroom.thumbs/CNNW_20231007_140000_CNN_Newsroom_001768.jpg,"we're continuing to follow the breaking news out of israel and gaza right now, at least 40 israelis are confirmed dead by the israeli government, more than 900 israelis are wounded right now, that according to the israeli health ministry, after a surprise multi-front attack from"
https://archive.org/details/CNNW_20231007_150000_CNN_Newsroom_With_Fredricka_Whitfield#start/2155/end/2190,10/7/2023 15:36:10,10/7/2023,CNN,CNN Newsroom With Fredricka Whitfield,CNNW_20231007_150000_CNN_Newsroom_With_Fredricka_Whitfield,https://archive.org/download/CNNW_20231007_150000_CNN_Newsroom_With_Fredricka_Whitfield/CNNW_20231007_150000_CNN_Newsroom_With_Fredricka_Whitfield.thumbs/CNNW_20231007_150000_CNN_Newsroom_With_Fredricka_Whitfield_002128.jpg,"palestinian health ministry. these attacks from hamas today are not just limited to rockets. hamas militants infiltrated parts of israel by land and sea. and by air, using para-gliders we're told. we're also hearing reports of"
https://archive.org/details/CNNW_20231007_180000_CNN_Newsroom_With_Fredricka_Whitfield#start/1913/end/1948,10/7/2023 18:32:08,10/7/2023,CNN,CNN Newsroom With Fredricka Whitfield,CNNW_20231007_180000_CNN_Newsroom_With_Fredricka_Whitfield,https://archive.org/download/CNNW_20231007_180000_CNN_Newsroom_With_Fredricka_Whitfield/CNNW_20231007_180000_CNN_Newsroom_With_Fredricka_Whitfield.thumbs/CNNW_20231007_180000_CNN_Newsroom_With_Fredricka_Whitfield_001888.jpg,"hamas and with the palestinian state of hamas. i want to be clear, there's a f full-blown palestinian state in gaza run by hamas, and we had an unprovoked act of war this morning."
https://archive.org/details/CNNW_20231008_050000_Anthony_Bourdain_Parts_Unknown#start/3196/end/3231,10/8/2023 5:53:31,10/8/2023,CNN,Anthony Bourdain Parts Unknown,CNNW_20231008_050000_Anthony_Bourdain_Parts_Unknown,https://archive.org/download/CNNW_20231008_050000_Anthony_Bourdain_Parts_Unknown/CNNW_20231008_050000_Anthony_Bourdain_Parts_Unknown.thumbs/CNNW_20231008_050000_Anthony_Bourdain_Parts_Unknown_003177.jpg,"police station. israel has also carried out a wave of strikes in gaza killing at least 230 people, according to the palestinian health ministry. an israeli official says the attacks by hamas have so far killed at least 300 israelis."
https://archive.org/details/CNNW_20231008_070000_CNN_Newsroom_Live#start/1448/end/1483,10/8/2023 7:24:23,10/8/2023,CNN,CNN Newsroom Live,CNNW_20231008_070000_CNN_Newsroom_Live,https://archive.org/download/CNNW_20231008_070000_CNN_Newsroom_Live/CNNW_20231008_070000_CNN_Newsroom_Live.thumbs/CNNW_20231008_070000_CNN_Newsroom_Live_001197.jpg,"kayla tausche, cnn, the white house. still ahead, much more on thefyinging in israel and gaza. we'll hear from an israeli man who says his family was taken hostage by has. the palestinian health ministry says over 250 have been"
