"Table below includes data from two queries, the first about journalists in Palestine and the other about journalists in Ukraine. ",,,,,,,
,,,,,,,
"Query 1: Journalists in Palestine -- Terms searched for: (""killed"" OR ""targeted"" OR ""injured"" OR ""hurt"") AND (""journalist"" OR ""journalists"") AND (""gaza"" OR ""israeli"" OR ""gazan"" OR ""palestinian"" OR ""israel"") AND (Station:CNN OR Station:MSNBC) AND PublicationDate>=10/7/2023 AND PublicationDate<=1/14/2024 23:59:59 UTC",,,,,,,
"Query 2: Journalists in Ukraine -- Terms searched for: (""killed"" OR ""targeted"" OR ""injured"" OR ""hurt"") AND (""journalist"" OR ""journalists"") AND (""ukraine"" OR ""ukrainian"" OR ""russian"" OR ""russia"") AND (Station:CNN OR Station:MSNBC) AND PublicationDate>=2/24/2022 AND PublicationDate<=6/3/2022 23:59:59 UTC ",,,,,,,
,,,,,,,
,,,,,,,
URL,MatchDateTime,Station,Show,IAShowID,IAPreviewThumb,Snippet,Reference
https://archive.org/details/CNNW_20240114_180000_Fareed_Zakaria_GPS#start/358/end/393,1/14/2024 18:06:13,CNN,Fareed Zakaria GPS,CNNW_20240114_180000_Fareed_Zakaria_GPS,https://archive.org/download/CNNW_20240114_180000_Fareed_Zakaria_GPS/CNNW_20240114_180000_Fareed_Zakaria_GPS.thumbs/CNNW_20240114_180000_Fareed_Zakaria_GPS_000357.jpg,"tells the israelites to kill every man, woman, and child, destroy all property, even kill every animal in retaliation for a surprise attack. the committee to protect journalists reports that more journalists have been killed in the first ten weeks of the",Palestine
https://archive.org/details/MSNBCW_20240114_150000_Velshi#start/3508/end/3543,1/14/2024 15:58:43,MSNBC,Velshi,MSNBCW_20240114_150000_Velshi,https://archive.org/download/MSNBCW_20240114_150000_Velshi/MSNBCW_20240114_150000_Velshi.thumbs/MSNBCW_20240114_150000_Velshi_003507.jpg,"that one can do. so, again, this goes back to, this didn't just happen today in terms of the killings of journalist, palestinian journalist and gaza. we have to also remember abdel -- who was killed as well.",Palestine
https://archive.org/details/MSNBCW_20240114_150000_Velshi#start/3164/end/3199,1/14/2024 15:52:59,MSNBC,Velshi,MSNBCW_20240114_150000_Velshi,https://archive.org/download/MSNBCW_20240114_150000_Velshi/MSNBCW_20240114_150000_Velshi.thumbs/MSNBCW_20240114_150000_Velshi_003147.jpg,"journalists and media workers have been killed in gaza. i have been, frankly, stunned, angry, and infuriated by the lack of solidarity. the lack of outrage.",Palestine
https://archive.org/details/MSNBCW_20240114_150000_Velshi#start/2792/end/2827,1/14/2024 15:46:47,MSNBC,Velshi,MSNBCW_20240114_150000_Velshi,https://archive.org/download/MSNBCW_20240114_150000_Velshi/MSNBCW_20240114_150000_Velshi.thumbs/MSNBCW_20240114_150000_Velshi_002788.jpg,"for all these reasons, i cannot continue. a record number of journalists have died in this conflict. more journalist have been killed in the first ten weeks of the israel gaza war thin have ever been killed in a single country over an entire",Palestine
https://archive.org/details/MSNBCW_20240114_150000_Velshi#start/2608/end/2643,1/14/2024 15:43:43,MSNBC,Velshi,MSNBCW_20240114_150000_Velshi,https://archive.org/download/MSNBCW_20240114_150000_Velshi/MSNBCW_20240114_150000_Velshi.thumbs/MSNBCW_20240114_150000_Velshi_002608.jpg,"al jazeera journalist. he was killed alongside a colleague in an israeli airstrike that hits their car in the southern city of rafah on the egyptian border a week ago. at first, the israeli defense forces confirmed carrying out the strike, say that it had targeted a terrorist vehicle.",Palestine
https://archive.org/details/MSNBCW_20240114_150000_Velshi#start/2577/end/2612,1/14/2024 15:43:12,MSNBC,Velshi,MSNBCW_20240114_150000_Velshi,https://archive.org/download/MSNBCW_20240114_150000_Velshi/MSNBCW_20240114_150000_Velshi.thumbs/MSNBCW_20240114_150000_Velshi_002547.jpg,"makeshift funeral service. they wilt and they prayed over a body draped in a white burial shroud, covered with a blue press jacket. another journalist killed while covering the war between israel and hamas. this man, wearing his own navy blue press jacket, embracing a",Palestine
https://archive.org/details/MSNBCW_20240114_150000_Velshi#start/999/end/1034,1/14/2024 15:16:54,MSNBC,Velshi,MSNBCW_20240114_150000_Velshi,https://archive.org/download/MSNBCW_20240114_150000_Velshi/MSNBCW_20240114_150000_Velshi.thumbs/MSNBCW_20240114_150000_Velshi_000988.jpg,"upped, or journalists groups and the families of two perspective reporters recently killed in gaza are restarting israel's claim that those reporters were terrace. we'll will talk about the firestorm that they're just have set off amongst press advocates worldwide. vocates worldwide.",Palestine
https://archive.org/details/CNNW_20240114_150000_Fareed_Zakaria_GPS#start/363/end/398,1/14/2024 15:06:18,CNN,Fareed Zakaria GPS,CNNW_20240114_150000_Fareed_Zakaria_GPS,https://archive.org/download/CNNW_20240114_150000_Fareed_Zakaria_GPS/CNNW_20240114_150000_Fareed_Zakaria_GPS.thumbs/CNNW_20240114_150000_Fareed_Zakaria_GPS_000358.jpg,journalists reports that more journalists have been killed in the first ten weeks of the israel gaza war than have ever been killed in a single country. the united nations reports that more u.n. aid workers have been,Palestine
https://archive.org/details/MSNBCW_20240114_040000_Ayman#start/2526/end/2561,1/14/2024 4:42:21,MSNBC,Ayman,MSNBCW_20240114_040000_Ayman,https://archive.org/download/MSNBCW_20240114_040000_Ayman/MSNBCW_20240114_040000_Ayman.thumbs/MSNBCW_20240114_040000_Ayman_002518.jpg,"al jazeera journalist and camera man in his phone pride was killed last week by an israeli airstrike, alongside his colleague and the southern city of rafah. initially, the israeli military said the killing of the journalist was a version and",Palestine
https://archive.org/details/MSNBCW_20240114_040000_Ayman#start/2492/end/2527,1/14/2024 4:41:47,MSNBC,Ayman,MSNBCW_20240114_040000_Ayman,https://archive.org/download/MSNBCW_20240114_040000_Ayman/MSNBCW_20240114_040000_Ayman.thumbs/MSNBCW_20240114_040000_Ayman_002488.jpg,"journalists. for context, say p. j. fat more journalist killed in the first week of the store that have ever been killed and a single country over an entire year. cpj and al jazeera argue these killings reflect a pattern of the israeli military deliberately targeting",Palestine
