"Table below includes data from two queries, the first about refugees in Palestine and the other about refugees in Ukraine. ",,,,,,,
,,,,,,,
"Query 1: Terms searched for in same 15 second clip:  (""palestinian refugees"" OR ""gazan refugees"" OR ""refugees in gaza"" OR ""refugees from gaza"") AND (Station:CNN OR Station:MSNBC) AND PublicationDate>=10/7/2023 AND PublicationDate<=1/14/2024 23:59:59 UTC",,,,,,,
"Query 2: Terms searched for in same 15 second clip: (""ukrainian refugees"" OR ""refugees of ukraine"" OR ""refugees in ukraine"" OR ""refugees from ukraine"") AND (Station:CNN OR Station:MSNBC) AND PublicationDate>=2/24/2022 AND PublicationDate<=6/3/2022 23:59:59 UTC",,,,,,,
URL,MatchDateTime,Station,Show,IAShowID,IAPreviewThumb,Snippet,Reference
,,,,,,,
https://archive.org/details/CNNW_20240104_170000_Inside_Politics_With_Dana_Bash#start/2447/end/2482,1/4/2024 17:41:02,CNN,Inside Politics With Dana Bash,CNNW_20240104_170000_Inside_Politics_With_Dana_Bash,https://archive.org/download/CNNW_20240104_170000_Inside_Politics_With_Dana_Bash/CNNW_20240104_170000_Inside_Politics_With_Dana_Bash.thumbs/CNNW_20240104_170000_Inside_Politics_With_Dana_Bash_002428.jpg,"we have in his proposal for the supplemental, millions of dollars to help the refugees in gaza. millions of dollars to help the rflgs in gaza. republicans will not bring up the bill.",Palestine
https://archive.org/details/MSNBCW_20240103_090000_Alex_Wagner_Tonight#start/1511/end/1546,1/3/2024 9:25:26,MSNBC,Alex Wagner Tonight,MSNBCW_20240103_090000_Alex_Wagner_Tonight,https://archive.org/download/MSNBCW_20240103_090000_Alex_Wagner_Tonight/MSNBCW_20240103_090000_Alex_Wagner_Tonight.thumbs/MSNBCW_20240103_090000_Alex_Wagner_Tonight_001498.jpg,migration of gaza's residents. benjamin netanyahu says he's in conversations with world leaders about accepting these gazan refugees. what do you make of that? the way the israeli right wing is looking at this is that the solution for gaza is there not,Palestine
https://archive.org/details/MSNBCW_20240103_050000_Alex_Wagner_Tonight#start/1538/end/1573,1/3/2024 5:25:53,MSNBC,Alex Wagner Tonight,MSNBCW_20240103_050000_Alex_Wagner_Tonight,https://archive.org/download/MSNBCW_20240103_050000_Alex_Wagner_Tonight/MSNBCW_20240103_050000_Alex_Wagner_Tonight.thumbs/MSNBCW_20240103_050000_Alex_Wagner_Tonight_001527.jpg,people think of as ethnic cleansing. they talk about the mass migration of gaza residents. benjamin netanyahu says that he is in conversations with world leaders about accepting these gazan refugees. what do you make of that?,Palestine
https://archive.org/details/MSNBCW_20240103_020000_Alex_Wagner_Tonight#start/1516/end/1551,1/3/2024 2:25:31,MSNBC,Alex Wagner Tonight,MSNBCW_20240103_020000_Alex_Wagner_Tonight,https://archive.org/download/MSNBCW_20240103_020000_Alex_Wagner_Tonight/MSNBCW_20240103_020000_Alex_Wagner_Tonight.thumbs/MSNBCW_20240103_020000_Alex_Wagner_Tonight_001497.jpg,cleansing. they talk about the mass migration of gaza residents. benjamin netanyahu says that he is in conversations with world leaders about accepting these gazan refugees. what do you make of that? the way of the israeli,Palestine
https://archive.org/details/CNNW_20231230_000000_Erin_Burnett_OutFront#start/3024/end/3059,12/30/2023 0:50:39,CNN,Erin Burnett OutFront,CNNW_20231230_000000_Erin_Burnett_OutFront,https://archive.org/download/CNNW_20231230_000000_Erin_Burnett_OutFront/CNNW_20231230_000000_Erin_Burnett_OutFront.thumbs/CNNW_20231230_000000_Erin_Burnett_OutFront_002997.jpg,"to grow more desperate by the day and getting aid in gaza is proving to be a challenge. the u.n. agency for palestinian refugees said its aid convoy was fired out by israeli troops after passing a checkpoint into southern gaza. while no one was injured, the u.n. agency sailed that aid workers should never be a",Palestine
https://archive.org/details/CNNW_20231229_190000_CNN_News_Central#start/734/end/769,12/29/2023 19:12:29,CNN,CNN News Central,CNNW_20231229_190000_CNN_News_Central,https://archive.org/download/CNNW_20231229_190000_CNN_News_Central/CNNW_20231229_190000_CNN_News_Central.thumbs/CNNW_20231229_190000_CNN_News_Central_000718.jpg,"palestinian refugees on friday reporting that a u.n. convoy of seven vehicles, which they say were clearly labeled, or reportedly fired up by israeli troops as it made its way from northern gaza into southern gaza on route to --  _",Palestine
https://archive.org/details/CNNW_20231227_130000_CNN_This_Morning#start/658/end/693,12/27/2023 13:11:13,CNN,CNN This Morning,CNNW_20231227_130000_CNN_This_Morning,https://archive.org/download/CNNW_20231227_130000_CNN_This_Morning/CNNW_20231227_130000_CNN_This_Morning.thumbs/CNNW_20231227_130000_CNN_This_Morning_000659.jpg,and jordan and they are not taking refugees from gaza. it helps. it's not perfect. it's how diplomacy works. thanks so much. appreciate it. yeah. really interesting conversation.,Palestine
https://archive.org/details/MSNBCW_20231224_140000_The_Sunday_Show_With_Jonathan_Capehart#start/527/end/562,12/24/2023 14:09:02,MSNBC,The Sunday Show With Jonathan Capehart,MSNBCW_20231224_140000_The_Sunday_Show_With_Jonathan_Capehart,https://archive.org/download/MSNBCW_20231224_140000_The_Sunday_Show_With_Jonathan_Capehart/MSNBCW_20231224_140000_The_Sunday_Show_With_Jonathan_Capehart.thumbs/MSNBCW_20231224_140000_The_Sunday_Show_With_Jonathan_Capehart_000507.jpg,"keen on opening its borders to refugees from gaza? yeah, as you remember, at the beginning of the war we were saying that israel is forcing the palestinians to go, to leave northern gaza. we were also reporting that there's nowhere to go.",Palestine
https://archive.org/details/CNNW_20231223_180000_CNN_Newsroom_With_Fredricka_Whitfield#start/1202/end/1237,12/23/2023 18:20:17,CNN,CNN Newsroom With Fredricka Whitfield,CNNW_20231223_180000_CNN_Newsroom_With_Fredricka_Whitfield,https://archive.org/download/CNNW_20231223_180000_CNN_Newsroom_With_Fredricka_Whitfield/CNNW_20231223_180000_CNN_Newsroom_With_Fredricka_Whitfield.thumbs/CNNW_20231223_180000_CNN_Newsroom_With_Fredricka_Whitfield_001197.jpg,"in the last 24 hours alone, pushing the death toll well over 20000 since october 7th. will ripley is in tel aviv. the u.n. agency for palestinian refugees is criticizing new israeli evacuation orders for",Palestine
https://archive.org/details/MSNBCW_20231218_110000_Morning_Joe#start/11602/end/11637,12/18/2023 14:13:37,MSNBC,Morning Joe,MSNBCW_20231218_110000_Morning_Joe,https://archive.org/download/MSNBCW_20231218_110000_Morning_Joe/MSNBCW_20231218_110000_Morning_Joe.thumbs/MSNBCW_20231218_110000_Morning_Joe_011579.jpg,"liters a day, is far from enough. commissioner general of the u.n. agency for palestinian refugees, thank you very much for coming on the show this morning. we appreciate it.",Palestine
https://archive.org/details/MSNBCW_20231215_000000_The_ReidOut#start/3525/end/3560,12/15/2023 0:59:00,MSNBC,The ReidOut,MSNBCW_20231215_000000_The_ReidOut,https://archive.org/download/MSNBCW_20231215_000000_The_ReidOut/MSNBCW_20231215_000000_The_ReidOut.thumbs/MSNBCW_20231215_000000_The_ReidOut_003507.jpg,"genuine drc patient and sovereign palestinian state. and then you have to address the question of palestinian refugees and those living inside israel who are facing structural demonstration. a lot of violence on the west bank, i will mention.",Palestine
