URL,MatchDateTime,Show,Snippet
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/0/end/34,10/8/2023 13:00:14,State of the Union With Jake Tapper and Dana Bash,"we have hundreds of civilians that were killed. we have men and women and children and grandmothers sitting in gaza in some basement. tell me this, i'm going to interrupt because we're short on time and i'm sorry,ern wants to know you are going to get the"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/14/end/49,10/8/2023 13:00:29,State of the Union With Jake Tapper and Dana Bash,grandmothers and the children and everyone else back from gaza. we're not going to stop until we exhaust every means possible of doing so. and we'll not leave any person behind and that is what has changed over the last 24 hours. thank you very much.
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/42/end/77,10/8/2023 13:00:57,State of the Union With Jake Tapper and Dana Bash,threat from gaza. nic robertson there in sderot with the crucial interview giving us the very latest that is happening there so close to gaza. thank you so much for that. thank you for joining us this
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/63/end/98,10/8/2023 13:01:18,State of the Union With Jake Tapper and Dana Bash,morning. we'll stay on top of this breaking developing story. 'state of the union' is next. mighty vengeance. israel responds. after a brazen and brutal hamas
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/79/end/114,10/8/2023 13:01:34,State of the Union With Jake Tapper and Dana Bash,"terror attacks. citizens of israel, we're at w w war. antony blinken joins me next. and how could it happen. israeli civilians killed and ab ducked as the world scrambled to"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/95/end/130,10/8/2023 13:01:50,State of the Union With Jake Tapper and Dana Bash,understand how hamas pulled off such a surprise attack. house minority leader hakeem jeffries and house foreign affairs committee michael mccaul and former vice president mike pence join me ahead. plus rock solid. president biden voices strong support for israel.
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/110/end/145,10/8/2023 13:02:05,State of the Union With Jake Tapper and Dana Bash,"israel has the right to defend itself and its people. full stop. and congress rushes to condemn the hamas attack but without a speaker of the house, could that hamper any u.s. response?"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/126/end/161,10/8/2023 13:02:21,State of the Union With Jake Tapper and Dana Bash,"announcer: this is cnn breaking news. hello, i'm dana bash in washington where the state of our union is standing with israel. breaking news just in to cnn, israel formally declared a state of war. and cnn is reporting more than"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/143/end/178,10/8/2023 13:02:38,State of the Union With Jake Tapper and Dana Bash,"500 israelis are likely dead after a surprise terror attack by hamas. today is the jewish holiday of sim caw torah, people are usually dancing and celebrating, instead israelis are in"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/189/end/224,10/8/2023 13:03:24,State of the Union With Jake Tapper and Dana Bash,"so young -- [ inaudible ]. they were 16 and 12, so it is very, very hard to hear. and that was the last time i heard from them. as we speak, israeli tanks"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/203/end/238,10/8/2023 13:03:38,State of the Union With Jake Tapper and Dana Bash,are rolling toward the gaza border. ize raely prime minister benjamin netanyahu warns of a long and difficult war to come. joining me now is the u.s. secretary of state antony
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/219/end/254,10/8/2023 13:03:54,State of the Union With Jake Tapper and Dana Bash,"blinken. thank you so much for joining me. i really appreciate it. first, what could you tell us about what is going on on the ground inn israel and in gaza right now and how worried are"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/234/end/269,10/8/2023 13:04:09,State of the Union With Jake Tapper and Dana Bash,"you about how rapidly and how widely this could escalate. the first thing to say is this, this is the worst attack on israel since the yom kippur war. but there is a big difference. that was a conventional war between countries and armies. this is, a massive terrorist"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/250/end/285,10/8/2023 13:04:25,State of the Union With Jake Tapper and Dana Bash,"attack, on israeli civilians. indiscriminate fires of rockets against civilians. thousands of rockets. and men and women and children dragged across the border into gaza, including a holocaust survivor in a wheelchair."
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/265/end/300,10/8/2023 13:04:40,State of the Union With Jake Tapper and Dana Bash,"people gunned down in the streets, civilians. so you could imagine the impact this is having on israel and it should be something that revolts t the entire world. right now what we're seeing is relative calm throughout most of"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/278/end/313,10/8/2023 13:04:53,State of the Union With Jake Tapper and Dana Bash,israel but intensifying continuing to go on in the gaza area. we immediately reached out to president biden -- president biden reached out to prime minister netanyahu and spoke to him on the phone yesterday and i
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/296/end/331,10/8/2023 13:05:11,State of the Union With Jake Tapper and Dana Bash,spoke to thei israeli president and we've been on the phones throughout the last 24 hours engaging everyone in the region and well beyond. both to make sure that there is support for israel and that every country is using every effort to pull hamas back and to
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/311/end/346,10/8/2023 13:05:26,State of the Union With Jake Tapper and Dana Bash,prevent this from escalating. well how concerned are you about that last point that you made? that this will escalate beyond what is happening in israel and in gaza? well our first focus is to make sure that israel has what
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/327/end/362,10/8/2023 13:05:42,State of the Union With Jake Tapper and Dana Bash,"it needs to deal with the situation in gaza. to deal with the some thousand militants that came into israel again attacking israeli civilians in their homes an their towns. as of now, they seem to have been pushed back for the most part into gaza. but we want to make sure that"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/343/end/378,10/8/2023 13:05:58,State of the Union With Jake Tapper and Dana Bash,"israel has what it needs. at the same time president biden was very clear in sending a message to anyone in any other area who might try to take advantage of the situation, not to. and whether that is in the north, with hezbollah, and lebanon, whether it is in the"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/358/end/393,10/8/2023 13:06:13,State of the Union With Jake Tapper and Dana Bash,"west bank, or whether it is elsewhere. we've send the message clearly and directly and through other countries. when you spoke with your counterpart in israel when the president spoke with the prime minister, did they ask"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/372/end/407,10/8/2023 13:06:27,State of the Union With Jake Tapper and Dana Bash,"specifically for help from the u.s.? so, we, as you know, provide significant assistance to the israelis. we have since president obama signed a memorandum of understanding to provide"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/387/end/422,10/8/2023 13:06:42,State of the Union With Jake Tapper and Dana Bash,$3.8 million a year in military assistance. we're looking at specifically additional requests that the israelis have made. i think you're likely to hear more about that later today. you could give us a preview? let me not get ahead of it.
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/402/end/437,10/8/2023 13:06:57,State of the Union With Jake Tapper and Dana Bash,"but again we want to make sure that president biden's direction was to make sure that we're providing israel everything they need to deal with the attacks from hamas and as i said, i expect there to be more than on"
https://archive.org/details/CNNW_20231008_130000_State_of_the_Union_With_Jake_Tapper_and_Dana_Bash#start/470/end/505,10/8/2023 13:08:05,State of the Union With Jake Tapper and Dana Bash,"tensions between israelis and palestinians but the amount of time that i have to spend on crisis and conflict in the middle east compared today to my predecessors going back to 9/11 is significantly reduced. that obviously has changed dramatically. not just for jake sullivan, but for all of you."
